"x"
"1" "HCMI-CMDC"
"2" "TCGA-BRCA"
"3" "APOLLO-LUAD"
"4" "CPTAC-3"
"5" "MATCH-Y"
"6" "TCGA-THCA"
"7" "TCGA-UCEC"
"8" "GENIE-MSK"
"9" "FM-AD"
"10" "VAREPOP-APOLLO"
"11" "CGCI-BLGSP"
"12" "BEATAML1.0-CRENOLANIB"
"13" "TRIO-CRU"
"14" "REBC-THYR"
"15" "TARGET-CCSK"
"16" "MP2PRT-WT"
"17" "NCICCR-DLBCL"
"18" "OHSU-CNL"
"19" "WCDT-MCRPC"
"20" "ORGANOID-PANCREATIC"
"21" "CTSP-DLBCL1"
"22" "CMI-ASC"
"23" "MMRF-COMMPASS"
"24" "CMI-MBC"
"25" "CPTAC-2"
"26" "EXCEPTIONAL_RESPONDERS-ER"
"27" "BEATAML1.0-COHORT"
"28" "CGCI-HTMCP-CC"
"29" "TARGET-ALL-P3"
"30" "TARGET-ALL-P1"
"31" "TARGET-AML"
"32" "TARGET-WT"
"33" "TARGET-RT"
"34" "MATCH-Z1D"
"35" "CDDP_EAGLE-1"
"36" "CMI-MPC"
"37" "TARGET-NBL"
"38" "CGCI-HTMCP-LC"
"39" "GENIE-MDA"
"40" "GENIE-JHU"
"41" "GENIE-DFCI"
"42" "GENIE-NKI"
"43" "GENIE-UHN"
"44" "GENIE-GRCC"
"45" "GENIE-VICC"
"46" "TCGA-DLBC"
"47" "TCGA-COAD"
"48" "TCGA-CESC"
"49" "TCGA-BLCA"
"50" "TCGA-CHOL"
"51" "TCGA-ESCA"
"52" "TCGA-ACC"
"53" "TCGA-KICH"
"54" "TCGA-HNSC"
"55" "TCGA-LIHC"
"56" "TCGA-MESO"
"57" "TCGA-LAML"
"58" "TCGA-KIRP"
"59" "TCGA-KIRC"
"60" "TCGA-GBM"
"61" "TCGA-LGG"
"62" "TCGA-SARC"
"63" "TCGA-PCPG"
"64" "TCGA-READ"
"65" "TCGA-PAAD"
"66" "TCGA-LUAD"
"67" "TCGA-PRAD"
"68" "TCGA-OV"
"69" "TCGA-LUSC"
"70" "TCGA-TGCT"
"71" "TCGA-THYM"
"72" "TCGA-UVM"
"73" "TCGA-SKCM"
"74" "TCGA-UCS"
"75" "TCGA-STAD"
"76" "MATCH-Q"
"77" "TARGET-ALL-P2"
"78" "TARGET-OS"
